4508	ATP6	chrM	8527	9207
4509	ATP8	chrM	8366	8572
4511	TRNC	chrM	5761	5826
4512	COX1	chrM	5904	7445
4513	COX2	chrM	7586	8269
4514	COX3	chrM	9207	9990
4519	CYTB	chrM	14747	15887
4535	ND1	chrM	3307	4262
4536	ND2	chrM	4470	5511
4537	ND3	chrM	10059	10404
4538	ND4	chrM	10760	12137
4539	ND4L	chrM	10470	10766
4540	ND5	chrM	12337	14148
4541	ND6	chrM	14149	14673
4549	RNR1	chrM	648	1601
4550	RNR2	chrM	1671	3229
4553	TRNA	chrM	5587	5655
4555	TRND	chrM	7518	7585
4556	TRNE	chrM	14674	14742
4558	TRNF	chrM	577	647
4563	TRNG	chrM	9991	10058
4564	TRNH	chrM	12138	12206
4565	TRNI	chrM	4263	4331
4566	TRNK	chrM	8295	8364
4567	TRNL1	chrM	3230	3304
4568	TRNL2	chrM	12266	12336
4569	TRNM	chrM	4402	4469
4570	TRNN	chrM	5657	5729
4571	TRNP	chrM	15956	16023
4572	TRNQ	chrM	4329	4400
4573	TRNR	chrM	10405	10469
4574	TRNS1	chrM	7446	7514
4575	TRNS2	chrM	12207	12265
4576	TRNT	chrM	15888	15953
4577	TRNV	chrM	1602	1670
4578	TRNW	chrM	5512	5579
4579	TRNY	chrM	5826	5891
